time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne18,X_ne18,Y_ne20,X_ne20
0.00000000e+00,4.18000000e-01,4.00000000e+03,3.67647059e-03,7.12941125e-01,7.12941125e-01,6.91377283e-02,2.76550913e-01,1.89972106e-04,2.27966527e-03,2.13235956e-06,2.77206743e-05,0.00000000e+00,0.00000000e+00,5.71014320e-05,7.99420047e-04,2.09931735e-07,3.14897603e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.62073936e-04,5.79318297e-03,1.37916336e-07,2.34457772e-06,7.25875455e-07,1.30657582e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.17611355e-05,1.43522271e-03
1.00000000e-09,4.18000000e-01,4.00000000e+03,3.18640917e-03,7.12941082e-01,7.12941082e-01,6.91377669e-02,2.76551068e-01,1.90002946e-04,2.28003536e-03,2.13230715e-06,2.77199930e-05,2.90669748e-09,3.77870672e-08,5.71005041e-05,7.99407057e-04,1.80948837e-07,2.71423255e-06,6.19913827e-15,8.67879357e-14,9.96733273e-10,1.49509991e-08,3.62073905e-04,5.79318249e-03,1.37899860e-07,2.34429762e-06,7.21084212e-07,1.29795158e-05,3.36687490e-11,5.72368733e-10,4.93152057e-14,8.87673703e-13,2.22923891e-19,4.01263004e-18,7.17611355e-05,1.43522271e-03
1.07790740e-09,4.18000000e-01,4.00000000e+03,3.15177281e-03,7.12941079e-01,7.12941079e-01,6.91377697e-02,2.76551079e-01,1.90005145e-04,2.28006174e-03,2.13230307e-06,2.77199399e-05,3.13316939e-09,4.07312021e-08,5.71004318e-05,7.99406045e-04,1.78893203e-07,2.68339804e-06,7.20271125e-15,1.00837957e-13,1.07438549e-09,1.61157824e-08,3.62073903e-04,5.79318245e-03,1.37898577e-07,2.34427580e-06,7.20712270e-07,1.29728209e-05,3.62917935e-11,6.16960490e-10,5.31558398e-14,9.56805116e-13,2.59011782e-19,4.66221207e-18,7.17611355e-05,1.43522271e-03
1.16188436e-09,4.18000000e-01,4.00000000e+03,3.11497394e-03,7.12941076e-01,7.12941076e-01,6.91377727e-02,2.76551091e-01,1.90007485e-04,2.28008982e-03,2.13229867e-06,2.77198827e-05,3.37728797e-09,4.39047436e-08,5.71003538e-05,7.99404954e-04,1.76708027e-07,2.65062040e-06,8.36875418e-15,1.17162559e-13,1.15808728e-09,1.73713092e-08,3.62073901e-04,5.79318241e-03,1.37897193e-07,2.34425228e-06,7.20311565e-07,1.29656082e-05,3.91191925e-11,6.65026273e-10,5.72954634e-14,1.03131834e-12,3.00941737e-19,5.41695127e-18,7.17611355e-05,1.43522271e-03
1.25240375e-09,4.18000000e-01,4.00000000e+03,3.07592184e-03,7.12941072e-01,7.12941072e-01,6.91377758e-02,2.76551103e-01,1.90009971e-04,2.28011966e-03,2.13229393e-06,2.77198210e-05,3.64042844e-09,4.73255697e-08,5.71002699e-05,7.99403778e-04,1.74387657e-07,2.61581486e-06,9.72357016e-15,1.36129982e-13,1.24830993e-09,1.87246489e-08,3.62073898e-04,5.79318236e-03,1.37895702e-07,2.34422693e-06,7.19879891e-07,1.29578380e-05,4.21668668e-11,7.16836736e-10,6.17573338e-14,1.11163201e-12,3.49659496e-19,6.29387093e-18,7.17611355e-05,1.43522271e-03
1.34997528e-09,4.18000000e-01,4.00000000e+03,3.03452922e-03,7.12941068e-01,7.12941068e-01,6.91377792e-02,2.76551117e-01,1.90012611e-04,2.28015134e-03,2.13228881e-06,2.77197546e-05,3.92407321e-09,5.10129517e-08,5.71001793e-05,7.99402510e-04,1.71926601e-07,2.57889902e-06,1.12977207e-14,1.58168090e-13,1.34556144e-09,2.01834216e-08,3.62073895e-04,5.79318232e-03,1.37894094e-07,2.34419960e-06,7.19414877e-07,1.29494678e-05,4.54519775e-11,7.72683617e-10,6.65665143e-14,1.19819726e-12,4.06263897e-19,7.31275015e-18,7.17611355e-05,1.43522271e-03
1.45514834e-09,4.18000000e-01,4.00000000e+03,2.99071369e-03,7.12941064e-01,7.12941064e-01,6.91377828e-02,2.76551131e-01,1.90015411e-04,2.28018493e-03,2.13228330e-06,2.77196829e-05,4.22982025e-09,5.49876632e-08,5.71000817e-05,7.99401144e-04,1.69319607e-07,2.53979410e-06,1.31267153e-14,1.83774014e-13,1.45038939e-09,2.17558409e-08,3.62073892e-04,5.79318227e-03,1.37892362e-07,2.34417015e-06,7.18913972e-07,1.29404515e-05,4.89930225e-11,8.32881382e-10,7.17500138e-14,1.29150025e-12,4.72031666e-19,8.49656998e-18,7.17611355e-05,1.43522271e-03
1.56851516e-09,4.18000000e-01,4.00000000e+03,2.94439948e-03,7.12941060e-01,7.12941060e-01,6.91377867e-02,2.76551147e-01,1.90018376e-04,2.28022051e-03,2.13227736e-06,2.77196057e-05,4.55939209e-09,5.92720972e-08,5.70999765e-05,7.99399672e-04,1.66561757e-07,2.49842636e-06,1.52518125e-14,2.13525375e-13,1.56338402e-09,2.34507603e-08,3.62073888e-04,5.79318221e-03,1.37890494e-07,2.34413840e-06,7.18374432e-07,1.29307398e-05,5.28099411e-11,8.97768998e-10,7.73369378e-14,1.39206488e-12,5.48446206e-19,9.87203171e-18,7.17611355e-05,1.43522271e-03
1.69071410e-09,4.18000000e-01,4.00000000e+03,2.89551934e-03,7.12941055e-01,7.12941055e-01,6.91377907e-02,2.76551163e-01,1.90021511e-04,2.28025814e-03,2.13227095e-06,2.77195224e-05,4.91464554e-09,6.38903920e-08,5.70998632e-05,7.99398084e-04,1.63648577e-07,2.45472865e-06,1.77209507e-14,2.48093309e-13,1.68518153e-09,2.52777229e-08,3.62073884e-04,5.79318215e-03,1.37888481e-07,2.34410417e-06,7.17793312e-07,1.29202796e-05,5.69242257e-11,9.67711838e-10,8.33586499e-14,1.50045570e-12,6.37231064e-19,1.14701592e-17,7.17611355e-05,1.43522271e-03
1.82243324e-09,4.18000000e-01,4.00000000e+03,2.84401673e-03,7.12941051e-01,7.12941051e-01,6.91377951e-02,2.76551180e-01,1.90024823e-04,2.28029788e-03,2.13226405e-06,2.77194327e-05,5.29758215e-09,6.88685679e-08,5.70997409e-05,7.99396373e-04,1.60576151e-07,2.40864227e-06,2.05898296e-14,2.88257615e-13,1.81646769e-09,2.72470154e-08,3.62073880e-04,5.79318209e-03,1.37886311e-07,2.34406729e-06,7.17167445e-07,1.29090140e-05,6.13590436e-11,1.04310374e-09,8.98489464e-14,1.61728103e-12,7.40388801e-19,1.33269984e-17,7.17611355e-05,1.43522271e-03
