time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne18,X_ne18,Y_ne20,X_ne20
0.00000000e+00,2.00000000e-01,1.50000000e+04,3.67647059e-03,7.12941125e-01,7.12941125e-01,6.91377283e-02,2.76550913e-01,1.89972106e-04,2.27966527e-03,2.13235956e-06,2.77206743e-05,0.00000000e+00,0.00000000e+00,5.71014320e-05,7.99420047e-04,2.09931735e-07,3.14897603e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.62073936e-04,5.79318297e-03,1.37916336e-07,2.34457772e-06,7.25875455e-07,1.30657582e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.17611355e-05,1.43522271e-03
1.00000000e-09,1.99999999e-01,1.49999999e+04,3.68357509e-03,7.12941124e-01,7.12941124e-01,6.91377292e-02,2.76550917e-01,1.89972303e-04,2.27966764e-03,2.13235888e-06,2.77206655e-05,1.96074480e-11,2.54896824e-10,5.71014280e-05,7.99419992e-04,2.10332658e-07,3.15498987e-06,2.36770753e-19,3.31479055e-18,4.73939543e-12,7.10909315e-11,3.62073935e-04,5.79318296e-03,1.37916229e-07,2.34457589e-06,7.25253819e-07,1.30545687e-05,4.70726985e-13,8.00235875e-12,2.15128379e-16,3.87231082e-15,1.38260171e-23,2.48868308e-22,7.17611355e-05,1.43522271e-03
1.06553795e-09,1.99999999e-01,1.49999998e+04,3.68404013e-03,7.12941124e-01,7.12941124e-01,6.91377292e-02,2.76550917e-01,1.89972316e-04,2.27966779e-03,2.13235884e-06,2.77206649e-05,2.08924807e-11,2.71602249e-10,5.71014277e-05,7.99419988e-04,2.10358901e-07,3.15538352e-06,2.68822682e-19,3.76351754e-18,5.05000568e-12,7.57500851e-11,3.62073935e-04,5.79318296e-03,1.37916222e-07,2.34457577e-06,7.25213097e-07,1.30538357e-05,5.01577466e-13,8.52681693e-12,2.29227437e-16,4.12609386e-15,1.56976605e-23,2.82557890e-22,7.17611355e-05,1.43522271e-03
1.13537112e-09,1.99999999e-01,1.49999998e+04,3.68453556e-03,7.12941124e-01,7.12941124e-01,6.91377293e-02,2.76550917e-01,1.89972330e-04,2.27966796e-03,2.13235879e-06,2.77206643e-05,2.22617318e-11,2.89402513e-10,5.71014275e-05,7.99419985e-04,2.10386859e-07,3.15580289e-06,3.05213517e-19,4.27298923e-18,5.38097267e-12,8.07145901e-11,3.62073935e-04,5.79318296e-03,1.37916214e-07,2.34457564e-06,7.25169709e-07,1.30530548e-05,5.34449825e-13,9.08564702e-12,2.44250516e-16,4.39650929e-15,1.78226704e-23,3.20808068e-22,7.17611355e-05,1.43522271e-03
1.20978102e-09,1.99999999e-01,1.49999998e+04,3.68506338e-03,7.12941123e-01,7.12941123e-01,6.91377294e-02,2.76550917e-01,1.89972345e-04,2.27966814e-03,2.13235874e-06,2.77206636e-05,2.37207209e-11,3.08369372e-10,5.71014272e-05,7.99419981e-04,2.10416645e-07,3.15624967e-06,3.46530621e-19,4.85142870e-18,5.73363057e-12,8.60044585e-11,3.62073935e-04,5.79318296e-03,1.37916206e-07,2.34457550e-06,7.25123479e-07,1.30522226e-05,5.69476570e-13,9.68110169e-12,2.60258175e-16,4.68464714e-15,2.02353453e-23,3.64236216e-22,7.17611355e-05,1.43522271e-03
1.28906759e-09,1.99999999e-01,1.49999998e+04,3.68562569e-03,7.12941123e-01,7.12941123e-01,6.91377294e-02,2.76550918e-01,1.89972360e-04,2.27966832e-03,2.13235869e-06,2.77206629e-05,2.52753293e-11,3.28579282e-10,5.71014269e-05,7.99419976e-04,2.10448376e-07,3.15672565e-06,3.93440870e-19,5.50817218e-18,6.10940094e-12,9.16410140e-11,3.62073935e-04,5.79318296e-03,1.37916198e-07,2.34457536e-06,7.25074224e-07,1.30513360e-05,6.06798896e-13,1.03155812e-11,2.77314940e-16,4.99166892e-15,2.29746267e-23,4.13543280e-22,7.17611355e-05,1.43522271e-03
1.37355044e-09,1.99999999e-01,1.49999998e+04,3.68622474e-03,7.12941123e-01,7.12941123e-01,6.91377295e-02,2.76550918e-01,1.89972377e-04,2.27966853e-03,2.13235863e-06,2.77206622e-05,2.69318237e-11,3.50113709e-10,5.71014265e-05,7.99419971e-04,2.10482181e-07,3.15723272e-06,4.46701414e-19,6.25381980e-18,6.50979852e-12,9.76469778e-11,3.62073935e-04,5.79318296e-03,1.37916189e-07,2.34457520e-06,7.25021744e-07,1.30503914e-05,6.46567251e-13,1.09916433e-11,2.95489567e-16,5.31881221e-15,2.60847276e-23,4.69525097e-22,7.17611355e-05,1.43522271e-03
1.46357012e-09,1.99999999e-01,1.49999998e+04,3.68686292e-03,7.12941123e-01,7.12941123e-01,6.91377296e-02,2.76550918e-01,1.89972395e-04,2.27966874e-03,2.13235857e-06,2.77206614e-05,2.86968815e-11,3.73059460e-10,5.71014262e-05,7.99419966e-04,2.10518194e-07,3.15777291e-06,5.07171901e-19,7.10040661e-18,6.93643733e-12,1.04046560e-10,3.62073935e-04,5.79318296e-03,1.37916179e-07,2.34457504e-06,7.24965828e-07,1.30493849e-05,6.88941943e-13,1.17120130e-11,3.14855320e-16,5.66739575e-15,2.96158464e-23,5.33085235e-22,7.17611355e-05,1.43522271e-03
1.55948950e-09,1.99999999e-01,1.49999998e+04,3.68754277e-03,7.12941123e-01,7.12941123e-01,6.91377297e-02,2.76550919e-01,1.89972414e-04,2.27966897e-03,2.13235850e-06,2.77206605e-05,3.05776178e-11,3.97509031e-10,5.71014258e-05,7.99419961e-04,2.10556559e-07,3.15834839e-06,5.75828348e-19,8.06159687e-18,7.39103718e-12,1.10865558e-10,3.62073935e-04,5.79318296e-03,1.37916168e-07,2.34457486e-06,7.24906253e-07,1.30483126e-05,7.34093784e-13,1.24795943e-11,3.35490260e-16,6.03882467e-15,3.36249767e-23,6.05249580e-22,7.17611355e-05,1.43522271e-03
1.66169525e-09,1.99999999e-01,1.49999998e+04,3.68826702e-03,7.12941123e-01,7.12941123e-01,6.91377297e-02,2.76550919e-01,1.89972434e-04,2.27966921e-03,2.13235843e-06,2.77206596e-05,3.25816138e-11,4.23560980e-10,5.71014254e-05,7.99419956e-04,2.10597429e-07,3.15896143e-06,6.53778898e-19,9.15290458e-18,7.87543055e-12,1.18131458e-10,3.62073935e-04,5.79318296e-03,1.37916157e-07,2.34457468e-06,7.24842779e-07,1.30471700e-05,7.82204785e-13,1.32974813e-11,3.57477567e-16,6.43459620e-15,3.81768274e-23,6.87182893e-22,7.17611355e-05,1.43522271e-03
1.77059935e-09,1.99999999e-01,1.49999997e+04,3.68903854e-03,7.12941123e-01,7.12941123e-01,6.91377298e-02,2.76550919e-01,1.89972456e-04,2.27966947e-03,2.13235836e-06,2.77206586e-05,3.47169479e-11,4.51320322e-10,5.71014250e-05,7.99419949e-04,2.10640966e-07,3.15961449e-06,7.42281707e-19,1.03919439e-17,8.39157008e-12,1.25873551e-10,3.62073935e-04,5.79318296e-03,1.37916146e-07,2.34457448e-06,7.24775150e-07,1.30459527e-05,8.33468881e-13,1.41689710e-11,3.80905872e-16,6.85630570e-15,4.33448672e-23,7.80207610e-22,7.17611355e-05,1.43522271e-03
1.88664080e-09,1.99999999e-01,1.49999997e+04,3.68986041e-03,7.12941123e-01,7.12941123e-01,6.91377299e-02,2.76550920e-01,1.89972479e-04,2.27966974e-03,2.13235828e-06,2.77206576e-05,3.69922276e-11,4.80898959e-10,5.71014245e-05,7.99419943e-04,2.10687344e-07,3.16031016e-06,8.42765245e-19,1.17987134e-17,8.94153632e-12,1.34123045e-10,3.62073935e-04,5.79318296e-03,1.37916133e-07,2.34457427e-06,7.24703097e-07,1.30446557e-05,8.88092721e-13,1.50975763e-11,4.05869615e-16,7.30565307e-15,4.92125104e-23,8.85825187e-22,7.17611355e-05,1.43522271e-03
2.01028738e-09,1.99999999e-01,1.49999997e+04,3.69073590e-03,7.12941123e-01,7.12941123e-01,6.91377300e-02,2.76550920e-01,1.89972503e-04,2.27967004e-03,2.13235819e-06,2.77206565e-05,3.94166248e-11,5.12416122e-10,5.71014240e-05,7.99419936e-04,2.10736748e-07,3.16105122e-06,9.56851360e-19,1.33959190e-17,9.52754621e-12,1.42913193e-10,3.62073935e-04,5.79318296e-03,1.37916120e-07,2.34457404e-06,7.24626329e-07,1.30432739e-05,9.46296496e-13,1.60870404e-11,4.32469424e-16,7.78444963e-15,5.58744630e-23,1.00574033e-21,7.17611355e-05,1.43522271e-03
2.14203749e-09,1.99999999e-01,1.49999997e+04,3.69166849e-03,7.12941123e-01,7.12941123e-01,6.91377301e-02,2.76550921e-01,1.89972529e-04,2.27967035e-03,2.13235810e-06,2.77206554e-05,4.19999123e-11,5.45998860e-10,5.71014235e-05,7.99419929e-04,2.10789374e-07,3.16184061e-06,1.08638145e-18,1.52093403e-17,1.01519620e-11,1.52279430e-10,3.62073935e-04,5.79318296e-03,1.37916106e-07,2.34457380e-06,7.24544539e-07,1.30418017e-05,1.00831483e-12,1.71413520e-11,4.60812522e-16,8.29462540e-15,6.34382514e-23,1.14188853e-21,7.17611355e-05,1.43522271e-03
2.28242224e-09,1.99999998e-01,1.49999997e+04,3.69266189e-03,7.12941123e-01,7.12941123e-01,6.91377303e-02,2.76550921e-01,1.89972557e-04,2.27967069e-03,2.13235801e-06,2.77206541e-05,4.47525035e-11,5.81782546e-10,5.71014229e-05,7.99419921e-04,2.10845431e-07,3.16268146e-06,1.23344618e-18,1.72682465e-17,1.08173007e-11,1.62259510e-10,3.62073935e-04,5.79318296e-03,1.37916091e-07,2.34457354e-06,7.24457399e-07,1.30402332e-05,1.07439771e-12,1.82647611e-11,4.91013161e-16,8.83823690e-15,7.20259584e-23,1.29646725e-21,7.17611355e-05,1.43522271e-03
2.43200751e-09,1.99999998e-01,1.49999996e+04,3.69372003e-03,7.12941122e-01,7.12941122e-01,6.91377304e-02,2.76550922e-01,1.89972587e-04,2.27967104e-03,2.13235791e-06,2.77206528e-05,4.76854944e-11,6.19911427e-10,5.71014224e-05,7.99419913e-04,2.10905141e-07,3.16357712e-06,1.40041923e-18,1.96058693e-17,1.15262443e-11,1.72893664e-10,3.62073935e-04,5.79318295e-03,1.37916074e-07,2.34457327e-06,7.24364559e-07,1.30385621e-05,1.14481153e-12,1.94617960e-11,5.23193079e-16,9.41747542e-15,8.17761928e-23,1.47197147e-21,7.17611355e-05,1.43522271e-03
2.59139630e-09,1.99999998e-01,1.49999996e+04,3.69484711e-03,7.12941122e-01,7.12941122e-01,6.91377305e-02,2.76550922e-01,1.89972618e-04,2.27967142e-03,2.13235780e-06,2.77206514e-05,5.08107079e-11,6.60539203e-10,5.71014217e-05,7.99419904e-04,2.10968742e-07,3.16453112e-06,1.58999564e-18,2.22599389e-17,1.22816506e-11,1.84224759e-10,3.62073935e-04,5.79318295e-03,1.37916057e-07,2.34457297e-06,7.24265648e-07,1.30367817e-05,1.21984013e-12,2.07372822e-11,5.57481992e-16,1.00346758e-14,9.28463274e-23,1.67123389e-21,7.17611355e-05,1.43522271e-03
