time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne20,X_ne20
0.00000000e+00,2.00000000e-01,1.50000000e+04,3.67647059e-03,7.12941125e-01,7.12941125e-01,6.91377283e-02,2.76550913e-01,1.89972106e-04,2.27966527e-03,2.13235956e-06,2.77206743e-05,0.00000000e+00,0.00000000e+00,5.71014320e-05,7.99420047e-04,2.09931735e-07,3.14897603e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.62073936e-04,5.79318297e-03,1.37916336e-07,2.34457772e-06,7.25875455e-07,1.30657582e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.17611355e-05,1.43522271e-03
1.00000000e-09,2.00000000e-01,1.50000000e+04,3.68357509e-03,7.12941124e-01,7.12941124e-01,6.91377292e-02,2.76550917e-01,1.89972303e-04,2.27966764e-03,2.13235888e-06,2.77206655e-05,1.96074483e-11,2.54896828e-10,5.71014280e-05,7.99419992e-04,2.10332658e-07,3.15498987e-06,2.36770760e-19,3.31479065e-18,4.73939553e-12,7.10909330e-11,3.62073935e-04,5.79318296e-03,1.37916229e-07,2.34457589e-06,7.25253819e-07,1.30545687e-05,4.70726992e-13,8.00235887e-12,2.15128382e-16,3.87231088e-15,7.17611355e-05,1.43522271e-03
1.06553795e-09,2.00000000e-01,1.50000000e+04,3.68404013e-03,7.12941124e-01,7.12941124e-01,6.91377292e-02,2.76550917e-01,1.89972316e-04,2.27966779e-03,2.13235884e-06,2.77206649e-05,2.08924810e-11,2.71602253e-10,5.71014277e-05,7.99419988e-04,2.10358901e-07,3.15538352e-06,2.68822690e-19,3.76351766e-18,5.05000579e-12,7.57500869e-11,3.62073935e-04,5.79318296e-03,1.37916222e-07,2.34457577e-06,7.25213097e-07,1.30538357e-05,5.01577475e-13,8.52681707e-12,2.29227441e-16,4.12609393e-15,7.17611355e-05,1.43522271e-03
1.13537112e-09,2.00000000e-01,1.50000000e+04,3.68453556e-03,7.12941124e-01,7.12941124e-01,6.91377293e-02,2.76550917e-01,1.89972330e-04,2.27966796e-03,2.13235879e-06,2.77206643e-05,2.22617322e-11,2.89402518e-10,5.71014275e-05,7.99419985e-04,2.10386859e-07,3.15580289e-06,3.05213527e-19,4.27298938e-18,5.38097281e-12,8.07145921e-11,3.62073935e-04,5.79318296e-03,1.37916214e-07,2.34457564e-06,7.25169709e-07,1.30530548e-05,5.34449834e-13,9.08564718e-12,2.44250520e-16,4.39650937e-15,7.17611355e-05,1.43522271e-03
1.20978102e-09,2.00000000e-01,1.50000000e+04,3.68506338e-03,7.12941123e-01,7.12941123e-01,6.91377294e-02,2.76550917e-01,1.89972345e-04,2.27966814e-03,2.13235874e-06,2.77206636e-05,2.37207213e-11,3.08369377e-10,5.71014272e-05,7.99419981e-04,2.10416645e-07,3.15624967e-06,3.46530634e-19,4.85142887e-18,5.73363072e-12,8.60044608e-11,3.62073935e-04,5.79318296e-03,1.37916206e-07,2.34457550e-06,7.25123479e-07,1.30522226e-05,5.69476581e-13,9.68110187e-12,2.60258180e-16,4.68464723e-15,7.17611355e-05,1.43522271e-03
1.28906759e-09,2.00000000e-01,1.50000000e+04,3.68562569e-03,7.12941123e-01,7.12941123e-01,6.91377294e-02,2.76550918e-01,1.89972360e-04,2.27966832e-03,2.13235869e-06,2.77206629e-05,2.52753298e-11,3.28579288e-10,5.71014269e-05,7.99419976e-04,2.10448376e-07,3.15672565e-06,3.93440886e-19,5.50817240e-18,6.10940111e-12,9.16410166e-11,3.62073935e-04,5.79318296e-03,1.37916198e-07,2.34457536e-06,7.25074224e-07,1.30513360e-05,6.06798909e-13,1.03155814e-11,2.77314946e-16,4.99166902e-15,7.17611355e-05,1.43522271e-03
1.37355044e-09,2.00000000e-01,1.50000000e+04,3.68622474e-03,7.12941123e-01,7.12941123e-01,6.91377295e-02,2.76550918e-01,1.89972377e-04,2.27966853e-03,2.13235863e-06,2.77206622e-05,2.69318243e-11,3.50113716e-10,5.71014265e-05,7.99419971e-04,2.10482181e-07,3.15723272e-06,4.46701433e-19,6.25382006e-18,6.50979871e-12,9.76469807e-11,3.62073935e-04,5.79318296e-03,1.37916189e-07,2.34457520e-06,7.25021744e-07,1.30503914e-05,6.46567265e-13,1.09916435e-11,2.95489574e-16,5.31881233e-15,7.17611355e-05,1.43522271e-03
1.46357012e-09,2.00000000e-01,1.50000000e+04,3.68686292e-03,7.12941123e-01,7.12941123e-01,6.91377296e-02,2.76550918e-01,1.89972395e-04,2.27966874e-03,2.13235857e-06,2.77206614e-05,2.86968821e-11,3.73059468e-10,5.71014262e-05,7.99419966e-04,2.10518194e-07,3.15777291e-06,5.07171923e-19,7.10040692e-18,6.93643755e-12,1.04046563e-10,3.62073935e-04,5.79318296e-03,1.37916179e-07,2.34457504e-06,7.24965828e-07,1.30493849e-05,6.88941958e-13,1.17120133e-11,3.14855327e-16,5.66739589e-15,7.17611355e-05,1.43522271e-03
1.55948950e-09,2.00000000e-01,1.50000000e+04,3.68754277e-03,7.12941123e-01,7.12941123e-01,6.91377297e-02,2.76550919e-01,1.89972414e-04,2.27966897e-03,2.13235850e-06,2.77206605e-05,3.05776185e-11,3.97509040e-10,5.71014258e-05,7.99419961e-04,2.10556559e-07,3.15834839e-06,5.75828375e-19,8.06159725e-18,7.39103742e-12,1.10865561e-10,3.62073935e-04,5.79318296e-03,1.37916168e-07,2.34457486e-06,7.24906253e-07,1.30483126e-05,7.34093802e-13,1.24795946e-11,3.35490268e-16,6.03882482e-15,7.17611355e-05,1.43522271e-03
1.66169525e-09,2.00000000e-01,1.50000000e+04,3.68826702e-03,7.12941123e-01,7.12941123e-01,6.91377297e-02,2.76550919e-01,1.89972434e-04,2.27966921e-03,2.13235843e-06,2.77206596e-05,3.25816146e-11,4.23560990e-10,5.71014254e-05,7.99419956e-04,2.10597429e-07,3.15896143e-06,6.53778931e-19,9.15290504e-18,7.87543084e-12,1.18131463e-10,3.62073935e-04,5.79318296e-03,1.37916157e-07,2.34457468e-06,7.24842779e-07,1.30471700e-05,7.82204805e-13,1.32974817e-11,3.57477576e-16,6.43459638e-15,7.17611355e-05,1.43522271e-03
1.77059935e-09,2.00000000e-01,1.49999999e+04,3.68903854e-03,7.12941123e-01,7.12941123e-01,6.91377298e-02,2.76550919e-01,1.89972456e-04,2.27966947e-03,2.13235836e-06,2.77206586e-05,3.47169488e-11,4.51320334e-10,5.71014250e-05,7.99419949e-04,2.10640966e-07,3.15961449e-06,7.42281747e-19,1.03919445e-17,8.39157040e-12,1.25873556e-10,3.62073935e-04,5.79318296e-03,1.37916146e-07,2.34457448e-06,7.24775150e-07,1.30459527e-05,8.33468904e-13,1.41689714e-11,3.80905883e-16,6.85630590e-15,7.17611355e-05,1.43522271e-03
1.88664080e-09,2.00000000e-01,1.49999999e+04,3.68986041e-03,7.12941123e-01,7.12941123e-01,6.91377299e-02,2.76550920e-01,1.89972479e-04,2.27966974e-03,2.13235828e-06,2.77206576e-05,3.69922286e-11,4.80898972e-10,5.71014245e-05,7.99419943e-04,2.10687344e-07,3.16031016e-06,8.42765293e-19,1.17987141e-17,8.94153668e-12,1.34123050e-10,3.62073935e-04,5.79318296e-03,1.37916133e-07,2.34457427e-06,7.24703097e-07,1.30446557e-05,8.88092747e-13,1.50975767e-11,4.05869627e-16,7.30565329e-15,7.17611355e-05,1.43522271e-03
2.01028738e-09,2.00000000e-01,1.49999999e+04,3.69073590e-03,7.12941123e-01,7.12941123e-01,6.91377300e-02,2.76550920e-01,1.89972503e-04,2.27967004e-03,2.13235819e-06,2.77206565e-05,3.94166259e-11,5.12416137e-10,5.71014240e-05,7.99419936e-04,2.10736748e-07,3.16105122e-06,9.56851417e-19,1.33959198e-17,9.52754662e-12,1.42913199e-10,3.62073935e-04,5.79318296e-03,1.37916120e-07,2.34457404e-06,7.24626329e-07,1.30432739e-05,9.46296525e-13,1.60870409e-11,4.32469438e-16,7.78444988e-15,7.17611355e-05,1.43522271e-03
