time,t9,rho,R15_14,Y_h1,X_h1,Y_he4,X_he4,Y_c12,X_c12,Y_c13,X_c13,Y_n13,X_n13,Y_n14,X_n14,Y_n15,X_n15,Y_o14,X_o14,Y_o15,X_o15,Y_o16,X_o16,Y_o17,X_o17,Y_o18,X_o18,Y_f17,X_f17,Y_f18,X_f18,Y_ne18,X_ne18,Y_ne20,X_ne20
0.00000000e+00,7.00000000e-02,2.20000000e+04,3.67647059e-03,7.12941125e-01,7.12941125e-01,6.91377283e-02,2.76550913e-01,1.89972106e-04,2.27966527e-03,2.13235956e-06,2.77206743e-05,0.00000000e+00,0.00000000e+00,5.71014320e-05,7.99420047e-04,2.09931735e-07,3.14897603e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.62073936e-04,5.79318297e-03,1.37916336e-07,2.34457772e-06,7.25875455e-07,1.30657582e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.17611355e-05,1.43522271e-03
1.00000000e-05,7.00000000e-02,2.20000000e+04,3.67606458e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972116e-04,2.27966540e-03,2.13235877e-06,2.77206640e-05,2.19033867e-11,2.84744027e-10,5.71014327e-05,7.99420057e-04,2.09908434e-07,3.14862651e-06,1.01248824e-19,1.41748353e-18,1.19901111e-13,1.79851667e-12,3.62073936e-04,5.79318297e-03,1.37916318e-07,2.34457741e-06,7.25866000e-07,1.30655880e-05,1.04948165e-13,1.78411881e-12,8.62918891e-17,1.55325400e-15,2.47369309e-25,4.45264756e-24,7.17611355e-05,1.43522271e-03
1.05013690e-05,7.00000000e-02,2.20000000e+04,3.67604422e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972117e-04,2.27966540e-03,2.13235873e-06,2.77206635e-05,2.30015546e-11,2.99020210e-10,5.71014327e-05,7.99420058e-04,2.09907266e-07,3.14860899e-06,1.11655936e-19,1.56318310e-18,1.25912581e-13,1.88868871e-12,3.62073936e-04,5.79318297e-03,1.37916317e-07,2.34457739e-06,7.25865526e-07,1.30655795e-05,1.10209940e-13,1.87356898e-12,9.06182958e-17,1.63112933e-15,2.72795759e-25,4.91032366e-24,7.17611355e-05,1.43522271e-03
1.10278750e-05,7.00000000e-02,2.20000000e+04,3.67602285e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972118e-04,2.27966541e-03,2.13235869e-06,2.77206629e-05,2.41547812e-11,3.14012156e-10,5.71014327e-05,7.99420058e-04,2.09906039e-07,3.14859059e-06,1.23132769e-19,1.72385877e-18,1.32225447e-13,1.98338170e-12,3.62073936e-04,5.79318297e-03,1.37916316e-07,2.34457737e-06,7.25865028e-07,1.30655705e-05,1.15735524e-13,1.96750391e-12,9.51616151e-17,1.71290907e-15,3.00835728e-25,5.41504310e-24,7.17611355e-05,1.43522271e-03
1.15807785e-05,7.00000000e-02,2.20000000e+04,3.67600040e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972118e-04,2.27966542e-03,2.13235864e-06,2.77206623e-05,2.53658270e-11,3.29755751e-10,5.71014328e-05,7.99420059e-04,2.09904751e-07,3.14857126e-06,1.35789277e-19,1.90104988e-18,1.38854820e-13,2.08282230e-12,3.62073936e-04,5.79318297e-03,1.37916315e-07,2.34457736e-06,7.25864505e-07,1.30655611e-05,1.21538144e-13,2.06614845e-12,9.99327222e-17,1.79878900e-15,3.31757851e-25,5.97164132e-24,7.17611355e-05,1.43522271e-03
1.21614028e-05,7.00000000e-02,2.20000000e+04,3.67597683e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972119e-04,2.27966543e-03,2.13235860e-06,2.77206617e-05,2.66375909e-11,3.46288682e-10,5.71014328e-05,7.99420059e-04,2.09903398e-07,3.14855097e-06,1.49746716e-19,2.09645403e-18,1.45816570e-13,2.18724854e-12,3.62073936e-04,5.79318297e-03,1.37916314e-07,2.34457734e-06,7.25863957e-07,1.30655512e-05,1.27631689e-13,2.16973871e-12,1.04943038e-16,1.88897468e-15,3.65858378e-25,6.58545081e-24,7.17611355e-05,1.43522271e-03
1.27711378e-05,7.00000000e-02,2.20000000e+04,3.67595208e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972119e-04,2.27966543e-03,2.13235855e-06,2.77206611e-05,2.79731171e-11,3.63650522e-10,5.71014328e-05,7.99420060e-04,2.09901978e-07,3.14852966e-06,1.65138806e-19,2.31194328e-18,1.53127360e-13,2.29691040e-12,3.62073936e-04,5.79318297e-03,1.37916313e-07,2.34457732e-06,7.25863380e-07,1.30655408e-05,1.34030745e-13,2.27852267e-12,1.10204555e-16,1.98368199e-15,4.03464009e-25,7.26235216e-24,7.17611355e-05,1.43522271e-03
1.34114430e-05,7.00000000e-02,2.20000000e+04,3.67592608e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972120e-04,2.27966544e-03,2.13235850e-06,2.77206605e-05,2.93756024e-11,3.81882831e-10,5.71014329e-05,7.99420060e-04,2.09900486e-07,3.14850729e-06,1.82113009e-19,2.54958213e-18,1.60804690e-13,2.41207035e-12,3.62073936e-04,5.79318297e-03,1.37916312e-07,2.34457730e-06,7.25862775e-07,1.30655299e-05,1.40750631e-13,2.39276072e-12,1.15729868e-16,2.08313762e-15,4.44935023e-25,8.00883041e-24,7.17611355e-05,1.43522271e-03
1.40838511e-05,7.00000000e-02,2.20000000e+04,3.67589879e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972121e-04,2.27966545e-03,2.13235844e-06,2.77206598e-05,3.08484040e-11,4.01029252e-10,5.71014329e-05,7.99420061e-04,2.09898919e-07,3.14848379e-06,2.00831949e-19,2.81164728e-18,1.68866938e-13,2.53300407e-12,3.62073936e-04,5.79318297e-03,1.37916310e-07,2.34457728e-06,7.25862139e-07,1.30655185e-05,1.47807430e-13,2.51272631e-12,1.21532203e-16,2.18757965e-15,4.90668732e-25,8.83203718e-24,7.17611355e-05,1.43522271e-03
1.47899717e-05,7.00000000e-02,2.20000000e+04,3.67587012e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972122e-04,2.27966546e-03,2.13235839e-06,2.77206590e-05,3.23950473e-11,4.21135615e-10,5.71014330e-05,7.99420062e-04,2.09897274e-07,3.14845911e-06,2.21474962e-19,3.10064946e-18,1.77333402e-13,2.66000103e-12,3.62073936e-04,5.79318297e-03,1.37916309e-07,2.34457725e-06,7.25861471e-07,1.30655065e-05,1.55218035e-13,2.63870660e-12,1.27625449e-16,2.29725808e-15,5.41103288e-25,9.73985918e-24,7.17611355e-05,1.43522271e-03
1.55314950e-05,7.00000000e-02,2.20000000e+04,3.67584002e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972122e-04,2.27966547e-03,2.13235833e-06,2.77206583e-05,3.40192345e-11,4.42250049e-10,5.71014330e-05,7.99420063e-04,2.09895547e-07,3.14843320e-06,2.44239818e-19,3.41935745e-18,1.86224349e-13,2.79336523e-12,3.62073936e-04,5.79318297e-03,1.37916308e-07,2.34457723e-06,7.25860770e-07,1.30654939e-05,1.63000185e-13,2.77100315e-12,1.34024191e-16,2.41243544e-15,5.96721877e-25,1.07409938e-23,7.17611355e-05,1.43522271e-03
1.63101960e-05,7.00000000e-02,2.20000000e+04,3.67580841e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972123e-04,2.27966548e-03,2.13235827e-06,2.77206575e-05,3.57248534e-11,4.64423094e-10,5.71014331e-05,7.99420063e-04,2.09893732e-07,3.14840599e-06,2.69344617e-19,3.77082464e-18,1.95561059e-13,2.93341589e-12,3.62073936e-04,5.79318297e-03,1.37916306e-07,2.34457721e-06,7.25860034e-07,1.30654806e-05,1.71172508e-13,2.90993264e-12,1.40743746e-16,2.53338743e-15,6.58057352e-25,1.18450323e-23,7.17611355e-05,1.43522271e-03
1.71279386e-05,7.00000000e-02,2.20000000e+04,3.67577521e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972124e-04,2.27966549e-03,2.13235820e-06,2.77206566e-05,3.75159868e-11,4.87707828e-10,5.71014331e-05,7.99420064e-04,2.09891827e-07,3.14837741e-06,2.97029876e-19,4.15841826e-18,2.05365884e-13,3.08048825e-12,3.62073936e-04,5.79318297e-03,1.37916305e-07,2.34457718e-06,7.25859261e-07,1.30654667e-05,1.79754566e-13,3.05582762e-12,1.47800199e-16,2.66040358e-15,7.25697336e-25,1.30625520e-23,7.17611355e-05,1.43522271e-03
1.79866803e-05,7.00000000e-02,2.20000000e+04,3.67574036e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972125e-04,2.27966550e-03,2.13235813e-06,2.77206557e-05,3.93969220e-11,5.12159986e-10,5.71014332e-05,7.99420065e-04,2.09889827e-07,3.14834740e-06,3.27560833e-19,4.58585166e-18,2.15662291e-13,3.23493437e-12,3.62073936e-04,5.79318297e-03,1.37916303e-07,2.34457715e-06,7.25858449e-07,1.30654521e-05,1.88766901e-13,3.20903732e-12,1.55210440e-16,2.79378792e-15,8.00289852e-25,1.44052173e-23,7.17611355e-05,1.43522271e-03
1.88884766e-05,7.00000000e-02,2.20000000e+04,3.67570375e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972126e-04,2.27966551e-03,2.13235806e-06,2.77206548e-05,4.13721615e-11,5.37838099e-10,5.71014333e-05,7.99420066e-04,2.09887726e-07,3.14831589e-06,3.61229990e-19,5.05721987e-18,2.26474929e-13,3.39712393e-12,3.62073936e-04,5.79318297e-03,1.37916302e-07,2.34457713e-06,7.25857596e-07,1.30654367e-05,1.98231087e-13,3.36992848e-12,1.62992207e-16,2.93385973e-15,8.82549531e-25,1.58858915e-23,7.17611355e-05,1.43522271e-03
1.98354862e-05,7.00000000e-02,2.20000000e+04,3.67566531e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972127e-04,2.27966552e-03,2.13235799e-06,2.77206538e-05,4.34464334e-11,5.64803634e-10,5.71014333e-05,7.99420067e-04,2.09885520e-07,3.14828280e-06,3.98359917e-19,5.57703883e-18,2.37829679e-13,3.56744518e-12,3.62073936e-04,5.79318297e-03,1.37916300e-07,2.34457710e-06,7.25856701e-07,1.30654206e-05,2.08169777e-13,3.53888622e-12,1.71164128e-16,3.08095430e-15,9.73264458e-25,1.75187603e-23,7.17611355e-05,1.43522271e-03
2.08299760e-05,7.00000000e-02,2.20000000e+04,3.67562494e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972128e-04,2.27966554e-03,2.13235791e-06,2.77206528e-05,4.56247028e-11,5.93121137e-10,5.71014334e-05,7.99420068e-04,2.09883203e-07,3.14824804e-06,4.39306335e-19,6.15028869e-18,2.49753720e-13,3.74630580e-12,3.62073936e-04,5.79318297e-03,1.37916298e-07,2.34457706e-06,7.25855761e-07,1.30654037e-05,2.18606763e-13,3.71631497e-12,1.79745763e-16,3.23542373e-15,1.07330373e-24,1.93194671e-23,7.17611355e-05,1.43522271e-03
2.18743263e-05,7.00000000e-02,2.20000000e+04,3.67558255e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972129e-04,2.27966555e-03,2.13235782e-06,2.77206517e-05,4.79121839e-11,6.22858391e-10,5.71014335e-05,7.99420069e-04,2.09880770e-07,3.14821155e-06,4.84461534e-19,6.78246148e-18,2.62275596e-13,3.93413394e-12,3.62073936e-04,5.79318297e-03,1.37916296e-07,2.34457703e-06,7.25854773e-07,1.30653859e-05,2.29567027e-13,3.90263945e-12,1.88757654e-16,3.39763777e-15,1.18362576e-24,2.13052636e-23,7.17611355e-05,1.43522271e-03
2.29710372e-05,7.00000000e-02,2.20000000e+04,3.67553803e-03,7.12941124e-01,7.12941124e-01,6.91377284e-02,2.76550914e-01,1.89972130e-04,2.27966557e-03,2.13235774e-06,2.77206506e-05,5.03143523e-11,6.54086580e-10,5.71014336e-05,7.99420070e-04,2.09878215e-07,3.14817323e-06,5.34258123e-19,7.47961372e-18,2.75425280e-13,4.13137920e-12,3.62073935e-04,5.79318297e-03,1.37916294e-07,2.34457700e-06,7.25853736e-07,1.30653673e-05,2.41076804e-13,4.09830566e-12,1.98221373e-16,3.56798471e-15,1.30528749e-24,2.34951747e-23,7.17611355e-05,1.43522271e-03
2.41227337e-05,7.00000000e-02,2.20000000e+04,3.67549129e-03,7.12941124e-01,7.12941124e-01,6.91377285e-02,2.76550914e-01,1.89972132e-04,2.27966558e-03,2.13235764e-06,2.77206494e-05,5.28369579e-11,6.86880453e-10,5.71014336e-05,7.99420071e-04,2.09875532e-07,3.14813299e-06,5.89173178e-19,8.24842449e-18,2.89234248e-13,4.33851373e-12,3.62073935e-04,5.79318297e-03,1.37916292e-07,2.34457696e-06,7.25852647e-07,1.30653477e-05,2.53163645e-13,4.30378196e-12,2.08159573e-16,3.74687232e-15,1.43945449e-24,2.59101808e-23,7.17611355e-05,1.43522271e-03
